id,artistName,endTime,msPlayed,trackName
2257,William Ross,2023-11-23 21:17:00,62373,Young Macy
2258,Kris Bowers,2023-11-23 21:18:00,74885,Game Over - From the Netflix Series “Bridgerton Season Two”
2259,Ari Posner,2023-11-23 21:19:00,76453,Passage Of Time
2260,Fernando Velázquez,2023-11-23 21:22:00,168720,Home Alone / Dad Arrives
2261,Jordan Seigel,2023-11-23 21:23:00,79640,Eloise
2262,Hannah V,2023-11-23 21:25:00,65639,Diamonds
2263,Sole Sole,2023-11-23 21:27:00,128823,Always Together
2264,Lyrah,2023-11-23 21:29:00,159000,In the Leaves
2265,Sheena Ringo,2023-11-23 21:29:00,3306,長く短い祭
2266,Cigarettes After Sex,2023-11-23 21:30:00,7244,Cry
2267,Sole Sole,2023-11-23 21:32:00,128823,Always Together
2268,Lyrah,2023-11-23 21:34:00,159000,In the Leaves
2269,Sole Sole,2023-11-23 21:35:00,35665,Always Together
2270,Lyrah,2023-11-23 21:35:00,1834,In the Leaves
2271,Sheena Ringo,2023-11-23 21:35:00,20721,長く短い祭
2272,Sole Sole,2023-11-23 21:37:00,128823,Always Together
2273,Ruffnux,2023-11-23 21:38:00,8382,Gravity
2274,Friends & I,2023-11-23 21:38:00,18796,Does It Mean I Love U
2275,Lyrah,2023-11-23 21:38:00,3349,In the Leaves
2276,Ruffnux,2023-11-23 21:40:00,1811,Gravity
2277,Nu Aspect,2023-11-23 21:40:00,6186,Miss You
2278,Sole Sole,2023-11-23 21:40:00,128823,Always Together
2279,Friends & I,2023-11-23 21:40:00,6072,Does It Mean I Love U
2280,Lyrah,2023-11-23 21:42:00,100008,Dream You Better
2281,Jane Good,2023-11-23 21:43:00,39680,Keeps Me High
2282,Piece Wise,2023-11-23 21:43:00,5589,Found It With You
2283,Piece Wise,2023-11-23 21:43:00,1369,Found It With You
2284,Lonely in the Rain,2023-11-23 21:45:00,155010,Chasing My Dreams
2285,Sole Sole,2023-11-23 21:47:00,128823,Always Together
2286,Friends & I,2023-11-23 22:35:00,146081,Does It Mean I Love U
2287,Lyrah,2023-11-23 22:37:00,159000,In the Leaves
2288,Nu Aspect,2023-11-23 22:41:00,194107,Miss You
2289,Jane Good,2023-11-23 22:43:00,122625,Keeps Me High
